"sleepStartTimestampGMT","sleepEndTimestampGMT","calendarDate","sleepWindowConfirmationType","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","unmeasurableSeconds","retro"
"2022-01-09T04:29:00.0","2022-01-09T15:08:00.0","2022-01-09","ENHANCED_CONFIRMED_FINAL","4380","23940","9780","240","0","False"
"2022-01-10T04:32:00.0","2022-01-10T13:42:00.0","2022-01-10","ENHANCED_CONFIRMED_FINAL","3180","23520","6180","120","0","False"
"2022-01-11T04:08:00.0","2022-01-11T12:55:00.0","2022-01-11","ENHANCED_CONFIRMED_FINAL","2940","21360","5880","1440","0","False"
"2022-01-12T04:08:00.0","2022-01-12T13:45:00.0","2022-01-12","ENHANCED_CONFIRMED_FINAL","2820","21660","9720","420","0","False"
"2022-01-13T04:38:00.0","2022-01-13T13:26:00.0","2022-01-13","ENHANCED_CONFIRMED_FINAL","2160","20040","9360","120","0","False"
"2022-01-14T04:58:00.0","2022-01-14T13:50:00.0","2022-01-14","ENHANCED_CONFIRMED_FINAL","2460","18420","10860","180","0","False"
"2022-01-15T04:44:00.0","2022-01-15T14:51:00.0","2022-01-15","ENHANCED_CONFIRMED_FINAL","2820","24780","8580","240","0","False"
"2022-01-16T05:18:00.0","2022-01-16T14:32:00.0","2022-01-16","ENHANCED_CONFIRMED_FINAL","4080","20460","8640","60","0","False"
"2022-01-17T05:04:00.0","2022-01-17T13:18:00.0","2022-01-17","ENHANCED_CONFIRMED_FINAL","6180","15780","7620","60","0","False"
"2022-01-18T04:38:00.0","2022-01-18T13:09:00.0","2022-01-18","ENHANCED_CONFIRMED","1380","16320","12480","480","0","False"
"2022-01-19T03:47:00.0","2022-01-19T13:14:00.0","2022-01-19","ENHANCED_CONFIRMED","1680","23220","7860","1260","0","False"
"2022-01-20T03:48:00.0","2022-01-20T13:13:00.0","2022-01-20","ENHANCED_CONFIRMED","3120","19500","10920","360","0","False"
"2022-01-21T04:57:00.0","2022-01-21T13:06:00.0","2022-01-21","ENHANCED_CONFIRMED_FINAL","3300","17820","8100","120","0","False"
"2022-01-22T04:35:00.0","2022-01-22T13:53:00.0","2022-01-22","ENHANCED_CONFIRMED_FINAL","4500","16620","12180","180","0","False"
"2022-01-23T04:48:00.0","2022-01-23T14:03:00.0","2022-01-23","ENHANCED_CONFIRMED_FINAL","4440","22920","4980","960","0","False"
"2022-01-24T04:45:00.0","2022-01-24T13:30:00.0","2022-01-24","ENHANCED_CONFIRMED_FINAL","3060","19020","7440","180","1800","False"
"2022-01-25T04:58:00.0","2022-01-25T13:52:00.0","2022-01-25","ENHANCED_CONFIRMED","5220","16920","8580","1320","0","False"
"2022-01-26T05:28:00.0","2022-01-26T13:38:00.0","2022-01-26","ENHANCED_CONFIRMED_FINAL","1320","17820","9060","1200","0","False"
"2022-01-27T05:32:00.0","2022-01-27T13:11:00.0","2022-01-27","ENHANCED_CONFIRMED_FINAL","4020","15360","7860","300","0","False"
"2022-01-28T04:44:00.0","2022-01-28T13:30:00.0","2022-01-28","ENHANCED_CONFIRMED","3420","19980","7680","480","0","False"
