"","achievement_count","athlete_count","average_cadence","average_heartrate","average_speed","average_temp","comment_count","distance","elapsed_time","elev_high","elev_low","id","kudos_count","max_heartrate","max_speed","moving_time","name","pr_count","sport_type","start_date","suffer_score","total_elevation_gain"
"1",0,1,"80.3","169.6",9.828,"27",0,8.4157,3121,281.6,246,7485234873,8,"184",13.6116,3083,"Trailfest round 2","0","Run","2022-07-16T20:12:27Z","92",67
"2",0,3,"81.4","167.8",8.7732,"24",0,16.5472,7391,322.8,259.2,7479144678,10,"189",17.4816,6790,"Trailfest Leg 1","0","Run","2022-07-16T13:58:34Z","193",303
"3",0,1,NA,NA,0,NA,0,0,7200,NA,NA,7465531694,0,NA,0,7200,"Evening Activity","0","RockClimbing","2022-07-14T00:00:00Z",NA,0
"4",7,4,"81.4","148.5",7.9488,"23",0,5.1462,2505,357.4,332.2,7461832385,7,"189",15.768,2331,"Morning Run","1","Run","2022-07-13T11:33:35Z","19",166
"5",0,1,NA,"75.3",0,"30",0,0,1223,NA,NA,7459452220,1,"106",0,1223,"Evening Yoga","0","Yoga","2022-07-12T23:12:10Z","1",0
"6",0,1,NA,"114.4",19.7136,"30",0,8.4548,4551,352.6,334.6,7458764561,4,"136",42.3828,1544,"Afternoon Ride","0","Ride","2022-07-12T18:28:11Z","4",46
"7",0,1,NA,"100.2",0,"26",0,0,2081,366.6,356.8,7456841725,3,"122",0,2081,"Back to lifting ","0","Workout","2022-07-12T13:56:34Z","4",0
"8",0,1,NA,"108.8",0,"27",0,0,3697,367.2,364.6,7454262490,1,"143",0,3697,"Tennis","0","Workout","2022-07-12T00:56:02Z","9",0
"9",3,1,NA,"130.2",20.1384,"31",0,11.8139,2759,374,350.2,7453483735,4,"157",41.4432,2112,"Afternoon Ride","0","Ride","2022-07-11T21:07:21Z","11",25
"10",0,1,NA,"136.9",20.3076,"24",0,10.1598,2050,364.8,346.8,7451231492,3,"170",30.7872,1801,"Morning Ride","0","Ride","2022-07-11T13:28:23Z","11",35
"11",0,1,NA,"119.4",19.6524,"23",0,8.1501,2156,342,326.8,7449033343,3,"140",25.7328,1493,"Quick stop to watch the sunset ","0","Ride","2022-07-11T01:01:16Z","4",24
"12",0,1,NA,NA,0,NA,0,0,7200,NA,NA,7449009593,0,NA,0,7200,"MWC","0","RockClimbing","2022-07-10T23:00:00Z",NA,0
"13",0,1,NA,"122",19.71,"26",0,7.4295,1357,325,309.4,7448681607,0,"151",27.6732,1357,"Afternoon Ride","0","Ride","2022-07-10T22:28:19Z","4",13
"14",0,1,NA,"91.4",0,"30",1,0,3845,252.4,238.6,7442572510,4,"141",0,3845,"First time playing pickleball!","0","Workout","2022-07-09T19:53:36Z","7",0
"15",2,3,"81.3","171.7",8.7372,"24",2,17.1569,7903,491,337.2,7441599099,11,"202",19.08,7069,"MSRC trail run!","0","Run","2022-07-09T14:06:54Z","241",438
"16",0,1,NA,NA,0,NA,0,0,7200,NA,NA,7437914706,1,NA,0,7200,"Evening Activity","0","RockClimbing","2022-07-09T00:45:00Z",NA,0
"17",2,1,NA,"127.7",17.91,"27",0,5.4579,1097,282,269.2,7433040549,2,"158",31.4424,1097,"Evening Ride","2","Ride","2022-07-08T01:29:03Z","5",22
"18",1,10,"80.9","153.3",9.8748,"30",0,6.5182,2498,281.6,270,7432704699,6,"174",13.0176,2376,"MSRC brewery run","0","Run","2022-07-07T23:02:41Z","31",19
"19",3,1,NA,"127.7",19.7676,"30",0,5.3701,999,285.2,272.6,7432439871,1,"159",33.1416,978,"Afternoon Ride","1","Ride","2022-07-07T22:08:15Z","4",23
"20",0,1,NA,"99.3",0,"27",0,0,2758,261.2,258.2,7427583208,1,"130",0,2758,"Tennis","0","Workout","2022-07-06T23:33:41Z","6",0
"21",12,1,"86.1","152.5",10.1808,"24",0,9.2529,4565,300.6,266.2,7424275319,6,"184",24.7608,3272,"NP","4","Run","2022-07-06T11:16:37Z","39",190
"22",0,1,NA,"71.6",0,"30",0,0,2203,NA,NA,7421919336,1,"104",0,2203,"Evening Yoga","0","Yoga","2022-07-05T23:04:31Z","2",0
"23",0,1,"60.6","92.7",5.6016,"28",0,3.2256,2242,297,274.2,7416376993,5,"110",29.8404,2073,"State Street stroll ","0","Walk","2022-07-04T22:12:35Z","3",33
